mode,workload,input_len,output_len,max_concurrency,repeats,completed_min,duration,request_throughput,input_throughput,output_throughput,total_throughput,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,median_tpot_ms,p95_tpot_ms,p99_tpot_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,median_e2e_latency_ms,p95_e2e_latency_ms,p99_e2e_latency_ms,output_throughput_vs_bf16,total_throughput_vs_bf16,median_ttft_ms_speedup_vs_bf16,median_tpot_ms_speedup_vs_bf16,p99_e2e_latency_ms_speedup_vs_bf16
bf16,balanced,1024,256,1,3,64,79.51489995000884,0.8048805952121793,824.1977294972716,206.0494323743179,1030.2471618715895,165.8153664902784,173.57766927452758,296.40662810124843,4.22039128823991,4.223474223011484,4.276618320870386,4.221072013024241,4.2574239923851565,4.286821486311965,1241.4734174963087,1244.3297370380606,1256.647113354702,1.0,1.0,1.0,1.0,1.0
nvfp4_online,balanced,1024,256,1,3,64,86.13276324598701,0.7430389736507358,760.8719090183534,190.21797725458836,951.0898862729417,170.67065251467284,171.7295777023537,172.23891621135408,4.60651761175398,4.608490786226421,4.614103909222381,4.606210000929423,4.643481892708223,4.680050433089491,1345.5300199857447,1346.7546249128645,1347.9647930848296,0.9231667132624299,0.9231667132624298,0.9715517228483261,0.9161782595753394,0.932255144794141
nvfp4_offline,balanced,1024,256,1,3,64,77.94639989497955,0.8210770489237461,840.782898097916,210.195724524479,1050.978622622395,167.49430651543662,176.1532041578903,223.4335166524394,4.116930054813422,4.119593482795537,4.126717587549459,4.116943018743768,4.153890395537019,4.184027522569522,1217.3640674882336,1219.655126692669,1220.9079704224132,1.0201228030690654,1.0201228030690654,0.9899761367410809,1.025130675539538,1.029272593674627
bf16,balanced,1024,256,4,3,64,25.782781693997094,2.4822767674793162,2541.85140989882,635.462852474705,3177.314262373525,320.14515400805976,355.62786565860733,415.9960427196344,5.0477258118061235,5.108783871526647,5.1340724786106655,5.064804499852471,5.196586193051189,5.250673685222863,1609.736263504601,1642.543859302532,1646.039372847299,1.0,1.0,1.0,1.0,1.0
nvfp4_online,balanced,1024,256,4,3,64,24.974661977990763,2.5625972458166126,2624.0995797162113,656.0248949290528,3280.124474645264,339.0296089928597,341.83357395231724,342.1243835403584,4.78423194510077,4.793101964094996,4.793968398178763,4.7785429924260825,4.817751357040834,4.85274610837223,1559.116599499248,1564.3959452936542,1565.0570842056186,1.032357583726999,1.032357583726999,0.9442985082013953,1.0550754791425154,1.0517439839472595
nvfp4_offline,balanced,1024,256,4,3,64,23.926653555012308,2.674841254037085,2739.037444133975,684.7593610334937,3423.796805167469,335.018088502693,343.17180189100327,345.01775849057594,4.54666180976703,4.564426129811681,4.570306676524399,4.547121003270149,4.605240194359794,4.635616083396598,1494.4456740049645,1500.0344624917489,1500.7142916836892,1.0775757518583686,1.0775757518583686,0.9556055777134145,1.110204810255014,1.0968372740693806
bf16,balanced,1024,256,16,3,160,24.55467696802225,6.516070246347336,6672.455932259672,1668.113983064918,8340.56991532459,479.8571944993455,494.27482024620986,502.68930755177274,7.716699011792776,7.910821738084503,8.391635057189976,7.7714750077575445,8.067027250945102,8.220484989578836,2450.466171998414,2496.076350841031,2497.570257707557,1.0,1.0,1.0,1.0,1.0
nvfp4_online,balanced,1024,256,16,3,160,19.95925754099153,8.016330250331123,8208.72217633907,2052.1805440847675,10260.90272042384,501.3303364976309,509.0106027942966,509.80239917698776,5.843758533307004,6.489566505958518,6.495954767558906,5.826802982483059,5.887283543415833,5.937137990258634,1991.631567987497,1998.7210361869074,1999.68296238716,1.2302399985366603,1.2302399985366608,0.9571676788037604,1.3205027154716928,1.248983116166592
nvfp4_offline,balanced,1024,256,16,3,160,20.514128801005427,7.7995025551442465,7986.690616467708,1996.672654116927,9983.363270584636,500.51678050658666,513.6344343307428,519.8370782542042,6.064483213783972,6.114128694171086,6.729931161882739,6.069975002901629,6.174525216920301,6.241268147714436,2048.260981508065,2057.8832725412212,2058.8450622648816,1.1969641609551944,1.1969641609551946,0.9587234897772438,1.2724413177125267,1.2130928662305678
bf16,balanced,1024,256,32,3,320,34.300374482991174,9.329344207559052,9553.248468540469,2388.312117135117,11941.560585675586,796.6428290092153,822.0931760355597,834.5506647741422,10.396907396053019,11.670092270565766,12.17962147959613,10.405568013084121,10.753969501820393,10.92665800388204,3431.701540495851,3467.4307369743474,3469.3047895116615,1.0,1.0,1.0,1.0,1.0
